,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,sex_ratio,literacy_rate
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,828077,12952,59006,100.0,59.0
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1017568,12050,55613,100.0,67.0
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,14593,170,1486,93.0,49.0
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,5318,57,885,103.0,49.0
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,14231,450,1582,98.0,63.0
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,3911,95,969,103.0,40.0
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,17157,312,1471,91.0,57.0
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,5932,207,742,93.0,59.0
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,12493,381,1598,98.0,65.0
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,30539,2477,7418,98.0,69.0
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,8635,96,494,71.0,52.0
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,16026,98,888,94.0,43.0
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,6198,97,392,89.0,52.0
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,5373,139,750,100.0,54.0
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,14188,202,887,82.0,58.0
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,14204,303,1300,93.0,58.0
33,Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,84804,2078,25286,95.0,53.0
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,49866,2523,12959,97.0,59.0
35,Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,140205,5316,37541,96.0,68.0
36,Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,45444,1166,12084,95.0,52.0
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,28195,1192,10410,95.0,62.0
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,136685,8817,34479,96.0,67.0
39,Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,78641,1364,13524,96.0,56.0
40,Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,82345,3073,17636,96.0,68.0
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,44143,1211,10615,95.0,62.0
42,Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,122063,5651,26357,96.0,73.0
43,Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,122191,3109,23468,95.0,66.0
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,53918,1923,11340,95.0,58.0
45,Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,70951,1933,24699,96.0,65.0
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,41373,1218,14063,96.0,55.0
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,60296,1948,15011,97.0,66.0
48,Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,195631,5121,45956,96.0,61.0
49,Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,68313,1631,12360,95.0,69.0
50,Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,133368,4358,31254,96.0,58.0
51,Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,161718,5135,27948,95.0,60.0
52,Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,43290,2561,29796,92.0,43.0
53,Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,44456,2362,31168,93.0,58.0
54,Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,589477,23258,69937,92.0,68.0
55,Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,62359,1704,22300,91.0,47.0
56,Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,120373,4644,43127,89.0,52.0
57,Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,174534,6764,46929,88.0,52.0
58,Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,62153,3661,34658,91.0,59.0
59,Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,46760,1784,19324,92.0,58.0
60,Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,127442,6280,53205,91.0,46.0
61,Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,112617,6856,57011,94.0,52.0
62,Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,69375,3707,33596,102.0,54.0
63,Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,32633,1839,22414,92.0,49.0
64,Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,27641,1106,11302,92.0,55.0
65,Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,60900,2941,27263,92.0,42.0
66,Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,40641,1580,21654,89.0,46.0
67,Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,58718,1093,14073,95.0,44.0
68,Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,44491,1186,8862,90.0,51.0
69,Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,23236,1397,23309,91.0,42.0
70,Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,113281,5319,65548,93.0,48.0
71,Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,90461,2653,17946,88.0,59.0
72,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,180651,10290,73012,90.0,52.0
73,Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,101378,4156,43848,92.0,53.0
74,Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,31162,1841,28411,94.0,49.0
75,Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,57546,3495,41143,91.0,45.0
76,Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,546859,40692,132582,90.0,59.0
77,Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,74979,7719,70258,90.0,45.0
78,Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,86058,4170,33664,92.0,41.0
79,Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,114893,4594,36279,92.0,61.0
80,Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,41342,1668,19415,91.0,42.0
81,Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,88021,5379,50918,91.0,50.0
82,Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,94787,4509,37442,95.0,55.0
83,Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,20065,631,8873,93.0,52.0
84,Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,10004,478,6698,89.0,43.0
85,Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,66263,3460,42461,90.0,42.0
86,Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,52935,3834,37833,99.0,58.0
87,Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,51028,1845,25078,93.0,46.0
88,Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,70001,4810,39564,89.0,55.0
89,Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,231204,44283,78113,82.0,76.0
90,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,157646,1782,9042,102.0,46.0
91,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,79146,1574,6281,98.0,75.0
92,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,519704,8566,30892,97.0,60.0
93,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,148926,1016,4804,101.0,68.0
94,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,614109,16141,51289,99.0,69.0
95,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,76783,567,5755,101.0,58.0
96,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,202380,4544,18004,97.0,62.0
97,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,80023,1667,7609,97.0,60.0
98,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,212487,961,5614,102.0,62.0
99,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,297308,3342,13857,99.0,64.0
100,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,547206,38570,96301,96.0,74.0
101,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,728556,20261,59523,98.0,65.0
102,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,253131,2737,18983,98.0,50.0
103,Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,49249,1316,4543,53.0,79.0
104,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,498326,6628,26991,95.0,67.0
105,Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,173951,23440,56266,96.0,81.0
106,Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,138810,17624,44299,99.0,78.0
107,Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,1456046,126341,273651,90.0,75.0
108,Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,273331,2538,12765,96.0,66.0
109,Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,378310,9902,32523,92.0,74.0
110,Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,396873,3424,23149,94.0,55.0
111,Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,309091,10257,29531,93.0,72.0
112,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,500757,7297,28925,93.0,66.0
113,Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,262539,12107,33662,92.0,74.0
114,Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,386538,11573,30384,94.0,65.0
115,Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,498326,6628,26991,95.0,67.0
116,Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,403294,9631,31961,91.0,60.0
117,Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,372226,5710,24502,94.0,72.0
118,Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,385609,7759,33731,93.0,74.0
119,Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,101940,576,4081,96.0,63.0
120,Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,267679,6726,24397,96.0,75.0
121,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,398937,3456,19753,95.0,60.0
122,Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,223424,2231,12870,94.0,62.0
123,Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,117040,1653,5639,95.0,67.0
124,Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,747352,21785,67370,93.0,72.0
125,Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,438606,5262,25425,95.0,65.0
126,Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,1252452,55694,149331,79.0,75.0
127,Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,302068,2975,15309,93.0,62.0
128,Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,113821,114470,140968,29794,137,1393,101.0,62.0
129,Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,798277,53606,117818,93.0,69.0
130,Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,887222,818456,1170657,329218,11020,31285,92.0,69.0
131,Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,199681,12899,32767,88.0,72.0
132,Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,266244,5292,25236,89.0,65.0
133,Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,966110,843623,1272739,333171,43437,82673,87.0,70.0
134,Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,495360,446651,557578,153301,3210,13142,90.0,59.0
135,Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,816690,697742,1111116,305751,67087,102343,85.0,73.0
136,Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,285004,10132,33400,87.0,64.0
137,Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,514667,443738,676091,168558,5034,19241,86.0,71.0
138,Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,222462,5263,23750,87.0,62.0
139,Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,571003,503301,646529,187349,3724,15301,88.0,60.0
140,Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,797712,707612,978013,267223,11163,29253,89.0,65.0
141,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,510976,453679,646893,171908,7356,21951,89.0,67.0
142,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,486665,435423,630255,135455,2624,13908,89.0,68.0
143,Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,299679,261614,405318,103455,18615,32174,87.0,72.0
144,Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,646857,558580,786599,209965,10024,26719,86.0,65.0
145,Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,474335,425997,636947,152651,5121,18092,90.0,71.0
146,Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,568479,492725,747582,193120,8482,27225,87.0,70.0
147,Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,682582,612607,782897,215527,6287,22706,90.0,60.0
148,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,79146,1574,6281,98.0,75.0
149,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,519704,8566,30892,97.0,60.0
150,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,261320,257760,323842,96082,1615,5117,99.0,62.0
151,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,217070,237698,358091,104120,2521,7525,110.0,79.0
152,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,593537,510748,653299,55929,1196,11037,86.0,59.0
153,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,750591,759484,1152640,330081,8053,22753,101.0,76.0
154,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,46249,37872,60699,17865,354,2563,82.0,72.0
155,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,225452,212451,307672,91322,2623,7010,94.0,70.0
156,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,498065,501712,723747,214491,5333,16401,101.0,72.0
157,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,425039,388971,612642,172754,9177,24127,92.0,75.0
158,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,276289,253566,362645,91509,2220,8593,92.0,68.0
159,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,308754,271566,428578,119866,5250,14478,88.0,74.0
160,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,263692,257481,399715,105929,2412,8238,98.0,77.0
161,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,213641,196295,219083,61831,596,3077,92.0,53.0
162,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,813821,716137,1137135,294739,19905,46657,88.0,74.0
163,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,77785,63017,86236,15824,235,1005,81.0,61.0
164,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,326109,290326,389204,109422,1443,6112,89.0,63.0
165,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,293064,267376,293958,73629,1537,5293,91.0,52.0
166,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,251899,224936,261724,62900,346,3342,89.0,55.0
167,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,651124,585705,748584,165403,16413,33831,90.0,61.0
168,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,296784,258201,322354,73999,1214,5744,87.0,58.0
169,Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1072807,989523,1273520,274726,9754,37997,92.0,62.0
170,Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,533935,508951,510061,27037,590,9115,95.0,49.0
171,Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,775022,717051,793538,130193,1944,13550,93.0,53.0
172,Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1405956,1278531,1722204,427173,11568,46646,91.0,64.0
173,Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,668514,652928,672409,62110,1193,10396,98.0,51.0
174,Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,683575,639209,653476,29373,565,8881,94.0,49.0
175,Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1258098,1187376,1253475,125431,1944,19976,94.0,51.0
176,Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,677927,635624,604519,43230,874,11925,94.0,46.0
177,Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,514390,510823,559720,31687,831,7807,99.0,55.0
178,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,404830,386212,426312,49419,808,4959,95.0,54.0
179,Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,369666,357312,350682,38194,340,6240,97.0,48.0
180,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,28769,351,2954,99.0,56.0
181,Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,452661,447761,352881,31414,328,4535,99.0,39.0
182,Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,68238,2155,19981,93.0,53.0
183,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,350908,22538,76565,95.0,66.0
184,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,34879,591,9563,95.0,42.0
185,Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,16865,423,4649,100.0,57.0
186,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,301389,3745,26297,99.0,59.0
187,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,214253,3729,17066,95.0,70.0
188,Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,808827,17560,73497,97.0,64.0
189,Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,440374,9626,40190,98.0,58.0
190,Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,271439,3971,36072,96.0,61.0
191,Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,12516,117,1462,98.0,34.0
192,Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,326594,4987,36571,96.0,57.0
193,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,238505,4510,18727,101.0,72.0
194,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,307257,5711,28897,97.0,66.0
195,Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,372671,7320,39416,97.0,67.0
196,Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,347962,15013,49585,97.0,70.0
197,Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,198064,3373,15625,98.0,66.0
198,Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,404767,9752,52483,97.0,56.0
199,Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,400702,4851,23444,101.0,69.0
200,Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,295937,2456,17819,95.0,68.0
201,Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,113931,3308,10758,102.0,74.0
202,Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,309494,5051,27235,98.0,66.0
203,Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,223166,2135,15263,99.0,58.0
204,Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,391033,3367,20265,100.0,64.0
205,Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,640868,28397,80086,99.0,65.0
206,Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,314547,5200,33903,100.0,51.0
207,Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,363835,8791,35207,100.0,72.0
208,Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,562769,7971,41751,98.0,68.0
209,Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,224814,9070,24817,109.0,79.0
210,Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,507913,28842,71593,110.0,87.0
211,Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,771287,88737,184167,103.0,87.0
212,Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,244844,8250,24863,101.0,83.0
213,Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,511167,32653,83940,114.0,85.0
214,Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,237670,10378,32484,108.0,79.0
